,APR DRG Code,County,Weighted avg,Total Population,Median age,Number of Households,Median Income
208,22,Westchester,154606.54,975321,40.6,345885,89968
209,23,Albany,67802.65,308580,37.8,125376,62293
210,23,Bronx,83790.16,1455846,33.6,495356,36593
211,23,Broome,47434.95,196124,39.6,78821,49064
212,23,Cayuga,28526.98,78319,42.5,31428,54664
213,23,Chautauqua,25179.65,130846,42.3,52983,44304
214,23,Chemung,62537.86,86883,41.2,34664,51251
215,23,Chenango,25394.62,48763,44.4,20373,48567
216,23,Clinton,39535.76,81224,39.4,31680,52759
217,23,Columbia,26822.05,61481,47.4,25470,61093
218,23,Dutchess,74382.3,295685,41.8,107384,75585
219,23,Erie,43286.51,923995,40.3,386371,54006
220,23,Franklin,20537.66,51054,40.5,18956,50733
221,23,Fulton,23967.17,53955,43.4,22535,48033
222,23,Jefferson,25709.51,116567,31.9,43206,50322
223,23,Kings,79923.55,2635121,34.8,944650,52782
224,23,Lewis,13377.6,26845,41.8,10236,51475
225,23,Madison,27182.77,71760,41.3,26307,58365
226,23,Monroe,39407.49,748680,38.6,300496,55272
227,23,Montgomery,17956.53,49500,41.1,19700,47449
228,23,Nassau,108637.74,1363069,41.5,444136,105744
229,23,New York,91079.96,1653877,37.1,758345,79781
230,23,Niagara,26997.06,212675,43,87978,51656
231,23,Oneida,51148.85,232324,41,90472,51316
232,23,Onondaga,60757.27,467669,38.8,185840,57271
233,23,Ontario,31173.87,109491,43.4,44269,61710
234,23,Orange,67648.43,378174,36.9,126460,75146
235,23,Otsego,60937.74,60750,42,23627,51254
236,23,Putnam,45763.39,99464,43.8,34316,99608
237,23,Queens,87710.85,2339280,38.3,777904,62008
238,23,Rensselaer,21523.71,159800,39.9,64456,63166
239,23,Richmond,86753.21,475948,39.9,166150,76244
240,23,Rockland,100278.16,325027,36.2,99935,88571
241,23,Saint Lawrence,15540.96,,,,
242,23,Saratoga,62167.38,226632,42.3,93129,77548
243,23,Schenectady,37002.04,155239,39.8,53825,61315
244,23,Steuben,37239.75,97539,42.4,40351,50157
245,23,Suffolk,100171.69,1497595,41,489328,92838
246,23,Sullivan,46780.88,75783,42.6,27679,53877
247,23,Tompkins,18999.35,104415,30.4,38986,56200
248,23,Ulster,33183.94,180129,43.6,69662,61652
249,23,Warren,37161.79,64701,46.2,27249,60222
250,23,Westchester,137980.06,975321,40.6,345885,89968
251,24,Albany,44189.56,308580,37.8,125376,62293
252,24,Bronx,74682.63,1455846,33.6,495356,36593
253,24,Broome,30780.86,196124,39.6,78821,49064
254,24,Cattaraugus,13797.08,78175,41.7,31723,45571
255,24,Chautauqua,17056.33,130846,42.3,52983,44304
256,24,Chemung,18974.56,86883,41.2,34664,51251
257,24,Clinton,20276.23,81224,39.4,31680,52759
258,24,Columbia,11410.13,61481,47.4,25470,61093
259,24,Cortland,14785.29,48334,36.2,17925,52451
260,24,Dutchess,47400.82,295685,41.8,107384,75585
